Condition,RT,,,,,,,,,,,,,,,,,,,,,,,,
4c,[4.372327089309692,8.3559319973,12.4408011436,16.4256401062,20.2443540096,24.4619700909,32.5151610374,36.3671832085,40.6677060127,44.4196171761,52.4561061859,56.3580551147,60.4257881641,64.3934600353,68.5952131748,72.4966800213,76.3983922005,80.3497240543,84.4156529903,89.0531611443, 96.48938608169556],,,,
5c,[5.572402000427246,10.4734580517,15.4753799438,20.4273109436,25.7797701359,31.0644829273,35.6997480392,40.434939146,45.4027090073,50.5059070587,55.4402570724,60.6243009567,65.4944069386,70.3802411556,75.4990689754,80.416353941,85.482833147, 96.20599007606506],,,,,,,
4v,[8.372427940368652,10.7229659557,14.4560749531,19.4916889668,22.9790527821,27.5641639233,30.265103817,33.4318749905,39.4351508617,42.4187328815,47.0870687962,49.9218800068,54.7236368656,57.4240779877,61.823843956,66.4790828228,72.2968189716,76.3626818657,78.7164387703,83.3654170036,92.4217939377, 94.85516786575317],,,
5v,[0.5035610198974609,7.3238618374,10.3908858299,17.3428039551,23.3463799953,25.9298989773,30.5793609619,35.4174499512,42.3699510098,45.6878728867,52.3573009968,57.325704813,60.9269828796,65.5432958603,71.5145850182,76.0487718582,81.4173970222,85.3355588913,91.8877489567, 95.98848080635071],,,,,
4v,[3.554121971130371,8.3399939537,14.9256567955,20.194537878,23.2625069618,27.7632739544,30.5643699169,33.6797449589,39.3677759171,42.9688949585,46.8866519928,49.5382699966,54.424423933,57.4752528667,61.6106009483,66.4110708237,72.3305249214,76.6987028122,78.7658829689,84.3833789825,87.0701329708,92.8042628765, 94.88853883743286],,
4c,[4.354988098144531,8.3225209713,12.2745621204,16.3233771324,20.4600191116,24.645029068,28.6467740536,32.4817891121,36.7334630489,40.5183889866,44.4199450016,52.4903681278,56.4395341873,60.325551033,64.4782130718,66.9120771885,68.5615971088,72.5126700401,76.3815381527,80.3830661774,84.4684760571,85.3177759647,89.3849070072,93.1380851269, 96.3901309967041]
5c,[5.554503917694092,10.6567108631,15.4429850578,20.3582799435,25.9780828953,30.5810749531,35.4828810692,40.4510140419,45.4695100784,50.7526369095,55.5242829323,60.523141861,65.526802063,70.4630658627,75.514359951,80.6838109493,85.3351800442,90.6210939884, 95.53879904747009],,,,,,
5v,[7.422852993011475,10.4908089638,17.1238429546,23.4449160099,26.3961570263,30.3983209133,35.5822489262,42.4022099972,46.0700531006,52.4559290409,57.3243830204,61.5571630001,65.4087250233,70.4969780445,76.0983150005,81.4170310497,85.4683940411,92.1044809818, 96.0397880077362],,,,,,
