4c,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96
4v,3,8,10,14,19,22,27,29,33,39,42,46,49,54,57,61,66,72,76,78,84,86,92,94
5c,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,,,,,
5v,7,10,17,23,26,30,35,42,45,52,57,60,65,71,75,81,85,91,95,,,,,
