snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq5v_100sec.wav,5v,,,,,0,0,0,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[2.685041904449463, 7.503277063369751, 10.589607000350952, 14.27564787864685, 17.42658305168152, 23.36218285560608, 26.627378940582275, 30.398594856262207, 35.396726846694946, 41.86919903755188, 49.88806986808777, 52.956482887268066, 61.99364185333252, 65.97819805145264, 71.66483688354492, 76.13161993026733, 80.86633586883545, 85.60239696502686, 90.25186896324158]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq4c_100sec.wav,4c,,,,,0,1,1,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.404842138290405, 8.373813152313232, 12.240663051605225, 16.45719814300537, 22.245453119277954, 28.414478063583374, 32.36418414115906, 36.20039892196655, 40.469144105911255, 44.384392976760864, 48.86903500556946, 52.740025997161865, 56.456737995147705, 60.32637596130371, 64.1416130065918, 68.30957794189453, 72.74464702606201, 76.26492404937744, 80.09980893135071, 83.78216314315796, 87.95333909988403, 94.10638093948364]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq5c_100sec.wav,5c,,,,,0,2,2,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.3213050365448, 9.087430953979492, 15.441343069076538, 18.99315094947815, 21.327796936035156, 26.10928201675415, 29.947699069976807, 35.31636309623718, 39.88452696800232, 45.13438105583191, 50.4864239692688, 55.353569984436035, 60.79284405708313, 65.29459595680237, 69.07810997962952, 74.84783411026001, 78.9828929901123, 86.11864709854126, 89.98629593849182, 95.00282096862793, 99.93998193740845]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq4v_100sec.wav,4v,,,,,0,3,3,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.238302946090698, 8.406054019927979, 14.175754070281982, 20.191587924957275, 22.676177978515625, 27.44491195678711, 30.13168501853943, 33.96296000480652, 36.75026798248291, 39.40231394767761, 46.68443703651428, 50.272671937942505, 55.10520386695862, 57.591315031051636, 61.32620191574097, 66.01054906845093, 72.03035402297974, 76.31536102294922, 78.9836699962616, 83.93523597717285, 86.53692293167114, 91.1043210029602]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq4c_100sec.wav,4c,,,,,1,0,4,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.37271785736084, 8.355912923812866, 12.340811967849731, 16.29022789001465, 20.045159816741943, 24.428993940353394, 28.34797477722168, 32.413357973098755, 36.034005880355835, 39.88548183441162, 44.37089395523071, 48.78897285461426, 52.37312698364258, 56.791319847106934, 60.475987911224365, 64.27893280982971, 68.27878880500793, 72.01457595825195, 75.98255395889282, 80.13421297073364, 88.42012286186218, 91.73805689811707, 96.4066219329834]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq5v_100sec.wav,5v,,,,,1,1,5,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.3691630363464355, 10.356752872467041, 16.176265001296997, 23.34501600265503, 26.41343593597412, 30.46477484703064, 35.56723093986511, 42.401942014694214, 45.68427586555481, 52.32224082946777, 57.3742458820343, 60.69243788719177, 65.36105298995972, 71.39650988578796, 75.74795389175415, 81.26601982116699, 85.35166382789612, 91.28772783279419, 95.05509090423584]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq5c_100sec.wav,5c,,,,,1,2,6,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.604628086090088, 8.989089965820312, 10.470385074615479, 15.208343029022217, 20.411323070526123, 25.396579027175903, 30.465155124664307, 35.31597900390625, 40.33199596405029, 44.15283703804016, 45.353724002838135, 50.15426993370056, 55.47430896759033, 60.64247798919678, 65.17787098884583, 69.1113600730896, 74.99844813346863, 79.96698212623596, 85.35016107559204, 89.96956515312195, 95.33801293373108]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
seq4v_100sec.wav,4v,,,,,1,3,7,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.6376540660858154, 8.58941912651062, 19.29107403755188, 22.527839183807373, 27.412250995635986, 30.797911167144775, 33.34801912307739, 38.98155903816223, 43.20283508300781, 46.68744921684265, 49.4216730594635, 53.85597801208496, 57.52199602127075, 61.3421950340271, 65.77753615379333, 72.11130905151367, 76.29750418663025, 78.6493182182312, 83.91744112968445, 86.38424015045166, 90.0702772140503, 92.45336604118347, 99.95768308639526]",2018_Jan_11_1432,59.9110968907,Melody_change_detectionRT,001,S01,
