snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq5v_100sec.wav,5v,,,,,0,0,0,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.3558127880096436, 10.62103796005249, 17.260201930999756, 21.094027996063232, 23.396545886993408, 26.41409182548523, 30.34916591644287, 33.19964098930359, 42.452356815338135, 45.671162843704224, 52.404701948165894, 57.343488931655884, 60.99483299255371, 65.41252899169922, 71.72799587249756, 75.6446168422699, 81.41565084457397, 85.33446192741394, 91.85279893875122, 95.8219199180603]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq5c_100sec.wav,5c,,,,,0,1,1,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.505688190460205, 10.374083042144775, 15.459603071212769, 20.377669095993042, 25.44576907157898, 30.86448907852173, 35.5996470451355, 40.518179178237915, 45.38781714439392, 50.623229026794434, 55.40397119522095, 60.42551803588867, 64.95870113372803, 70.21332097053528, 75.38236403465271, 79.81670308113098, 85.36880207061768, 88.8700761795044, 95.28933310508728]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq4c_100sec.wav,4c,,,,,0,2,2,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.738018035888672, 8.606244087219238, 12.357824087142944, 16.475881099700928, 20.37706208229065, 24.980314016342163, 32.395785093307495, 36.73343300819397, 40.617393016815186, 44.61722111701965, 48.954721212387085, 52.355746030807495, 57.24169111251831, 60.35863399505615, 64.36047911643982, 68.4964861869812, 72.36099600791931, 76.31613302230835, 80.29919409751892, 84.3508141040802, 88.8337471485138, 92.76929712295532, 96.78654217720032]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq4v_100sec.wav,4v,,,,,0,3,3,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.453294038772583, 3.637800931930542, 8.57434892654419, 14.59237289428711, 19.394359827041626, 22.625298976898193, 27.460882902145386, 30.331398963928223, 33.315451860427856, 39.35149788856506, 42.385530948638916, 47.53483295440674, 54.53710389137268, 57.77503991127014, 61.477598905563354, 66.39571404457092, 72.5320098400116, 76.31615781784058, 78.63421893119812, 84.28513789176941, 86.49941802024841, 92.70554184913635, 94.82333302497864]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq4v_100sec.wav,4v,,,,,1,0,4,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.45004701614379883, 3.4547109603881836, 8.340242862701416, 10.588252067565918, 14.905515909194946, 19.961158990859985, 22.596040964126587, 27.42947483062744, 30.41441798210144, 33.4172568321228, 39.36892890930176, 42.3856098651886, 47.0181188583374, 49.72248387336731, 54.32396602630615, 57.53973984718323, 58.7423050403595, 61.69415497779846, 66.36247086524963, 72.61153888702393, 76.41355991363525, 78.68348693847656, 84.46907496452332, 86.71931385993958, 89.32116198539734, 92.7066559791565, 94.55627202987671]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq4c_100sec.wav,4c,,,,,1,1,5,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.535356044769287, 8.439379930496216, 12.691015005111694, 16.710488080978394, 20.641459941864014, 24.446311950683594, 28.513719081878662, 32.365843057632446, 36.41687297821045, 40.468239068984985, 44.50335097312927, 48.572181940078735, 52.390212059020996, 56.725719928741455, 60.357521057128906, 61.81098794937134, 64.47762203216553, 68.42953610420227, 73.03165912628174, 76.49965810775757, 80.40162110328674, 84.7162389755249, 89.72058391571045, 93.22185802459717, 96.3734519481659]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq5v_100sec.wav,5v,,,,,1,2,6,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.3365159034729, 10.40693187713623, 17.342396020889282, 23.411173820495605, 26.37899088859558, 30.547183990478516, 35.499478816986084, 42.4846978187561, 45.57052803039551, 52.405802965164185, 57.55774998664856, 61.13916993141174, 65.36126399040222, 71.36114287376404, 75.43165493011475, 80.84978890419006, 85.60085582733154, 91.87128901481628, 96.08877301216125]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
seq5c_100sec.wav,5c,,,,,1,3,7,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.4182140827178955, 5.489557981491089, 10.45689606666565, 15.376488208770752, 20.34259009361267, 25.847164154052734, 31.23190712928772, 35.567612171173096, 40.435912132263184, 45.32053017616272, 50.506739139556885, 56.00852012634277, 64.47869515419006, 65.81195211410522, 70.46416306495667, 75.98096108436584, 81.16845917701721, 85.41954803466797, 91.30523419380188, 95.67154216766357]",2018_Jan_24_1700,59.9980831759,Melody_change_detectionRT,001,S09,
