snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq5v_100sec.wav,5v,,,,,0,0,0,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.2544779777526855, 7.321774959564209, 10.306037187576294, 17.22562003135681, 23.311264991760254, 26.343717098236084, 30.78018808364868, 35.3321270942688, 42.418840169906616, 45.286548137664795, 52.322566986083984, 57.307815074920654, 60.45947217941284, 65.31145095825195, 71.562833070755, 75.96506810188293, 81.33361005783081, 85.38485503196716, 91.40394616127014, 95.43872117996216]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq4v_100sec.wav,4v,,,,,0,1,1,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.303741931915283, 8.356148958206177, 10.640075922012329, 14.556526899337769, 19.042600870132446, 22.31153678894043, 27.359987020492554, 29.847646951675415, 33.346757888793945, 38.08358979225159, 39.101494789123535, 42.36904692649841, 46.38745093345642, 49.2876238822937, 54.387266874313354, 57.35763096809387, 61.309284925460815, 66.29478788375854, 72.31407380104065, 77.5956449508667, 78.73227882385254, 85.16824698448181, 86.50236487388611]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq4c_100sec.wav,4c,,,,,0,2,2,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.3549230098724365, 8.303575992584229, 12.241601943969727, 16.308831930160522, 21.01165795326233, 24.962281942367554, 28.36162781715393, 32.248281955718994, 36.41704201698303, 40.4521849155426, 44.970881938934326, 48.285995960235596, 52.27320981025696, 56.340847969055176, 60.3080108165741, 64.2913830280304, 68.29589581489563, 72.34507489204407, 76.44915580749512, 80.36778497695923, 84.54982089996338, 88.95474290847778, 93.4722089767456, 96.25719285011292]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq5c_100sec.wav,5c,,,,,0,3,3,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.236760854721069, 10.3731689453125, 15.42526388168335, 20.31030797958374, 24.311715841293335, 26.062663793563843, 30.396053791046143, 35.74974584579468, 40.11632299423218, 43.00278186798096, 45.30419898033142, 50.32254481315613, 55.30791997909546, 60.159756898880005, 65.32850098609924, 70.52983093261719, 75.46482300758362, 80.55005478858948, 85.39945483207703, 90.4050018787384, 95.28933691978455]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq4v_100sec.wav,4v,,,,,1,0,4,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.3343751430511475, 8.33967900276184, 14.408697128295898, 18.342257022857666, 20.11039900779724, 22.90905213356018, 27.39288020133972, 29.96448802947998, 33.48223114013672, 39.31780219078064, 42.80249905586243, 46.60332703590393, 50.52199101448059, 54.423444986343384, 57.42451500892639, 61.4093451499939, 62.45931100845337, 66.26074504852295, 72.29423904418945, 76.9491810798645, 78.26563906669617, 84.2848801612854, 86.41663813591003, 92.38839817047119, 94.35540699958801]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq5c_100sec.wav,5c,,,,,1,1,5,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.2522749900817871, 5.1879730224609375, 10.507376909255981, 15.208868980407715, 19.2777259349823, 20.30880904197693, 25.41247296333313, 30.43090510368347, 35.450265884399414, 40.435230016708374, 45.353904008865356, 50.30542707443237, 55.37082600593567, 60.576268911361694, 65.36140298843384, 70.68044090270996, 75.38186597824097, 78.64997410774231, 80.33399605751038, 85.4529800415039, 90.26845002174377, 95.33990693092346]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq4c_100sec.wav,4c,,,,,1,2,6,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.337651014328003, 8.272244930267334, 12.224363088607788, 16.324971914291382, 20.52768301963806, 24.39326500892639, 28.596434116363525, 32.397905111312866, 36.44976997375488, 40.385427951812744, 44.436058044433594, 52.40558695793152, 56.49125099182129, 60.4406259059906, 64.3939061164856, 68.96293711662292, 76.26570296287537, 80.29845595359802, 88.4368269443512, 93.08856892585754]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
seq5v_100sec.wav,5v,,,,,1,3,7,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.753324031829834, 7.353086948394775, 10.373023986816406, 17.242122888565063, 23.811869859695435, 26.629415035247803, 29.696509838104248, 35.24954795837402, 42.31636691093445, 46.117151975631714, 52.206372022628784, 57.44177293777466, 60.92577385902405, 65.32705283164978, 71.31372404098511, 75.37861490249634, 81.38405799865723, 85.41955494880676, 91.75463604927063, 96.13857889175415]",2018_Jan_29_1516,60.2010575328,Melody_change_detectionRT,001,S13,
