snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq5c_100sec.wav,5c,,,,,0,0,0,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.254050016403198, 10.405823230743408, 15.191882133483887, 19.159911155700684, 20.09282612800598, 25.459655046463013, 30.128170013427734, 35.34948801994324, 40.034308195114136, 43.266218185424805, 43.968648195266724, 45.336183071136475, 50.47181701660156, 55.1066620349884, 60.34008812904358, 65.27609705924988, 70.47914004325867, 75.42838311195374, 80.0335750579834, 85.3319160938263, 90.30097317695618, 94.02121210098267, 95.13839411735535]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq4c_100sec.wav,4c,,,,,0,1,1,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.320906162261963, 8.15570616722107, 11.990757942199707, 15.975187063217163, 20.00776696205139, 24.012037992477417, 27.99611496925354, 31.9651780128479, 35.98242115974426, 40.00173902511597, 43.96903610229492, 47.9881010055542, 52.019909143447876, 55.99059796333313, 60.02383208274841, 63.99140000343323, 67.99469208717346, 71.96169304847717, 76.0113570690155, 79.98325610160828, 83.98493814468384, 87.98354601860046, 91.98647809028625, 95.93714714050293]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq4v_100sec.wav,4v,,,,,0,2,2,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.3367161750793457, 5.939918041229248, 7.021918058395386, 8.4219810962677, 10.773459196090698, 14.425612211227417, 18.02649211883545, 19.44386315345764, 22.527812004089355, 27.36310315132141, 29.61245322227478, 33.31531119346619, 35.213226079940796, 39.23189401626587, 43.83715510368347, 46.38770914077759, 49.488383054733276, 54.34071207046509, 57.44103717803955, 61.84272003173828, 66.35945916175842, 72.3282721042633, 76.28242611885071, 78.34982514381409, 84.5994291305542, 86.53395009040833, 92.40553522109985, 94.5227460861206]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq5v_100sec.wav,5v,,,,,0,3,3,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.2694032192230225, 7.369929075241089, 10.689543008804321, 15.97500205039978, 17.2750141620636, 23.341058015823364, 26.328574180603027, 30.330433130264282, 35.0153272151947, 40.03438901901245, 41.06818199157715, 42.35093307495117, 45.68562412261963, 50.921162128448486, 52.28575420379639, 57.3576021194458, 60.375673055648804, 65.30977511405945, 71.32732009887695, 75.41452717781067, 80.0164361000061, 81.2670910358429, 86.20188403129578, 91.38795399665833, 95.77137517929077, 99.42344808578491]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq5v_100sec.wav,5v,,,,,1,0,4,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.30578088760376, 10.356180906295776, 14.00819993019104, 15.99248194694519, 17.107105016708374, 23.295055866241455, 26.713270902633667, 30.464367866516113, 35.33354091644287, 42.36676502227783, 45.4032928943634, 52.32244896888733, 57.32471990585327, 60.375619888305664, 63.41035008430481, 65.26116394996643, 71.31135296821594, 75.68131709098816, 81.3004400730133, 86.48458790779114, 91.38745999336243, 95.52279996871948]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq4c_100sec.wav,4c,,,,,1,1,5,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.320139169692993, 8.020106077194214, 11.991080045700073, 15.972669124603271, 19.976546049118042, 23.978686094284058, 27.97917103767395, 31.981110095977783, 35.96466398239136, 39.96825814247131, 44.03604316711426, 48.00450110435486, 52.005852937698364, 55.991016149520874, 59.940804958343506, 64.0268189907074, 68.011559009552, 72.01427507400513, 76.03098511695862, 79.98224306106567, 84.00104594230652, 87.98664999008179, 92.03756809234619, 96.03959894180298]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq4v_100sec.wav,4v,,,,,1,2,6,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.4036080837249756, 8.037007093429565, 10.606198072433472, 14.358359098434448, 19.407896995544434, 22.42642903327942, 26.978830099105835, 29.92854118347168, 33.31459403038025, 37.03326106071472, 39.00096011161804, 42.669124126434326, 46.42025017738342, 49.319360971450806, 54.30708408355713, 57.29099702835083, 61.37572002410889, 65.97741198539734, 71.06401801109314, 72.27987599372864, 76.39874315261841, 78.54966306686401, 83.93434309959412, 86.65218305587769, 92.00480914115906, 94.78909206390381]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
seq5c_100sec.wav,5c,,,,,1,3,7,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.25233793258667, 10.340245008468628, 15.225443840026855, 19.95979595184326, 25.012858867645264, 30.044827938079834, 34.93161487579346, 39.90117383003235, 44.98601484298706, 49.98863983154297, 55.00627088546753, 59.99183678627014, 65.0111608505249, 69.97890400886536, 74.96499300003052, 79.91546082496643, 84.96921992301941, 90.00446081161499, 95.00559186935425]",2018_Jan_22_1524,59.9710604128,Melody_change_detectionRT,001,S08,
