snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq5v_100sec.wav,5v,,,,,0,0,0,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.388887882232666, 10.439757823944092, 17.343053817749023, 23.39474582672119, 26.545707941055298, 30.36421489715576, 35.33251190185547, 42.23590087890625, 45.469565868377686, 52.33788990974426, 57.42414093017578, 60.77602696418762, 65.41029596328735, 71.39687490463257, 75.44811081886292, 81.4141788482666, 85.38433790206909, 91.8368148803711]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq4v_100sec.wav,4v,,,,,0,1,1,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.4375040531158447, 8.506006956100464, 14.342386960983276, 19.359967947006226, 22.311619997024536, 27.280373096466064, 29.445966005325317, 33.315041065216064, 39.30064606666565, 42.33535099029541, 46.46993112564087, 49.371931076049805, 53.28988313674927, 57.45734691619873, 61.291927099227905, 66.34398102760315, 72.34626698493958, 76.33086800575256, 78.36506414413452, 84.31805300712585, 86.3680260181427, 92.66812205314636, 94.43839693069458]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq5c_100sec.wav,5c,,,,,0,2,2,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.4858667850494385, 5.454513788223267, 10.423786878585815, 15.376384973526001, 20.39353585243225, 25.613162994384766, 30.43200993537903, 35.41366481781006, 40.35068893432617, 45.5028338432312, 50.41928696632385, 55.45651078224182, 60.43974590301514, 65.42726182937622, 70.59560489654541, 75.52843379974365, 80.61554384231567, 85.88464999198914, 90.35075497627258, 95.37136578559875]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq4c_100sec.wav,4c,,,,,0,3,3,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.419033050537109, 8.406733989715576, 12.307541847229004, 16.125540018081665, 20.00795006752014, 24.411525011062622, 28.380894899368286, 31.78140902519226, 35.79942989349365, 39.801838874816895, 43.81897187232971, 47.818305015563965, 52.57203388214111, 56.307060956954956, 60.274877071380615, 64.22433090209961, 68.32840895652771, 72.06416487693787, 76.04864692687988, 80.04930591583252, 84.08385586738586, 88.46888995170593, 92.02048802375793, 96.05636096000671]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq4c_100sec.wav,4c,,,,,1,0,4,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.4220969676971436, 8.039860010147095, 12.040352821350098, 16.025410890579224, 20.026803016662598, 24.029050827026367, 28.01420283317566, 32.01558184623718, 36.01629400253296, 40.000858783721924, 44.03348183631897, 48.00381588935852, 52.053349018096924, 56.024333000183105, 60.008349895477295, 64.0100200176239, 68.01133298873901, 72.04710483551025, 76.03120684623718, 80.03281593322754, 84.0503978729248, 88.01631999015808, 92.00329399108887, 96.00463891029358]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq5c_100sec.wav,5c,,,,,1,1,5,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.087524175643921, 5.554625034332275, 10.473446130752563, 13.774247169494629, 20.377153158187866, 25.529069185256958, 30.414473056793213, 35.48270606994629, 40.35164999961853, 45.42071604728699, 50.50251913070679, 55.47405505180359, 60.38971018791199, 65.41148519515991, 70.42671513557434, 75.52869009971619, 80.43291711807251, 81.39983797073364, 85.46741199493408, 90.41968202590942, 95.4390070438385]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq5v_100sec.wav,5v,,,,,1,2,6,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.355415105819702, 10.406609058380127, 17.326054096221924, 23.393787145614624, 26.559082984924316, 30.396806955337524, 35.3793580532074, 42.335134983062744, 45.536072969436646, 52.354971170425415, 57.373374938964844, 60.59081506729126, 65.44335293769836, 71.34594297409058, 75.41327714920044, 81.39878010749817, 85.41708517074585, 91.70234298706055, 95.43751406669617]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
seq4v_100sec.wav,4v,,,,,1,3,7,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.521483898162842, 8.322421073913574, 10.490196943283081, 14.309192895889282, 19.409931898117065, 22.508939027786255, 27.346422910690308, 29.6307270526886, 33.36500692367554, 39.30096197128296, 42.318604946136475, 46.33540391921997, 49.43833088874817, 53.23948097229004, 61.56014108657837, 66.37709403038025, 72.34646892547607, 76.34830594062805, 78.34925293922424, 84.28419208526611, 86.38500595092773, 92.80410099029541, 94.4045820236206]",2016_Apr_25_1033,59.7836030337,Melody_change_detectionRT,001,EG,
