snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq5c_100sec.wav,5c,,,,,0,0,0,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.37089991569519, 10.139734029769897, 14.974822044372559, 19.959681034088135, 24.995824098587036, 29.96374201774597, 34.96566390991211, 39.834084033966064, 44.75236201286316, 50.05445194244385, 54.77393102645874, 60.05875205993652, 64.77691197395325, 69.12905812263489, 75.02827596664429, 80.01625490188599, 84.90046811103821, 89.97025895118713, 95.05457711219788]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq5v_100sec.wav,5v,,,,,0,1,1,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.038080930709839, 13.089911937713623, 17.309415102005005, 23.39544701576233, 26.543689012527466, 30.43145203590393, 35.29901313781738, 42.484760999679565, 45.552842140197754, 52.405375957489014, 57.391242027282715, 60.54141592979431, 65.44113302230835, 71.73004603385925, 74.57910799980164, 75.99706602096558, 79.89868307113647, 81.63344407081604, 85.6173141002655, 88.98580813407898, 91.55316710472107, 95.60443115234375]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq4c_100sec.wav,4c,,,,,0,2,2,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.503227949142456, 8.373287916183472, 12.273919820785522, 15.74183988571167, 19.993474006652832, 24.026098012924194, 27.862315893173218, 31.93088984489441, 36.050041913986206, 39.81841778755188, 44.05206799507141, 47.870646953582764, 51.736392974853516, 55.78982591629028, 59.90582585334778, 63.86026692390442, 67.74503684043884, 71.84679985046387, 75.93075489997864, 79.73294281959534, 83.83416986465454, 87.91857481002808, 91.81969380378723, 95.87136483192444, 99.67266893386841]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq4v_100sec.wav,4v,,,,,0,3,3,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.4383440017700195, 5.9884560108184814, 8.389693975448608, 10.69016695022583, 14.392029047012329, 19.461029052734375, 22.5610830783844, 27.396669149398804, 29.647268056869507, 33.432146072387695, 39.38493800163269, 42.40132808685303, 46.42046809196472, 49.487987995147705, 54.423707008361816, 57.54103493690491, 61.40828609466553, 65.87796998023987, 72.47944593429565, 76.3143880367279, 78.41390299797058, 84.35085391998291, 86.48527193069458, 91.26990008354187, 92.4364960193634, 94.68835210800171, 98.23899793624878]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq4v_100sec.wav,4v,,,,,1,0,4,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.501551866531372, 8.387168884277344, 10.65713381767273, 14.390641927719116, 19.40964102745056, 22.444474935531616, 27.41284203529358, 29.56173086166382, 33.36437487602234, 39.3667528629303, 42.60175895690918, 46.43616580963135, 49.547168016433716, 54.421761989593506, 61.507664918899536, 66.42662191390991, 72.41243696212769, 76.4967029094696, 78.58065390586853, 84.64932489395142, 86.78360199928284, 92.51904082298279, 94.52025890350342]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq5v_100sec.wav,5v,,,,,1,1,5,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.371689081192017, 10.457472085952759, 17.326541900634766, 23.427875995635986, 26.646120071411133, 30.865219116210938, 35.329997062683105, 42.40137696266174, 45.369271993637085, 52.38830208778381, 57.24004507064819, 60.57497310638428, 65.4275860786438, 71.32888793945312, 75.31151700019836, 81.33047008514404, 85.33200693130493, 90.33585596084595, 91.48741412162781, 95.60494112968445]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq4c_100sec.wav,4c,,,,,1,2,6,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.387728929519653, 8.30673599243164, 12.19081711769104, 16.12307906150818, 19.2431480884552, 23.812417030334473, 27.894262075424194, 31.648118019104004, 35.71714401245117, 39.85066294670105, 43.968421936035156, 47.95161199569702, 51.97193694114685, 55.90737795829773, 59.8759241104126, 63.842504024505615, 67.92803597450256, 71.92934608459473, 75.87969613075256, 79.94851112365723, 83.86707091331482, 87.8853030204773, 91.91975712776184, 95.92138409614563, 99.90775990486145]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
seq5c_100sec.wav,5c,,,,,1,3,7,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.3379480838775635, 10.021862983703613, 14.9753999710083, 19.891138076782227, 24.9959499835968, 29.94695210456848, 35.0155029296875, 40.40132713317871, 44.803631067276, 50.43799805641174, 55.35641694068909, 60.02583599090576, 64.95979595184326, 70.01262307167053, 75.04666996002197, 80.39850306510925, 85.35167002677917, 90.00007510185242, 95.0025520324707]",2016_Apr_25_1311,59.6327322153,Melody_change_detectionRT,001,TM,
