snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq5c_100sec.wav,5c,,,,,0,0,0,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.354630947113037, 10.240492820739746, 15.074931859970093, 18.309156894683838, 20.074700832366943, 25.478961944580078, 30.063655853271484, 35.03281092643738, 40.06778287887573, 45.28645396232605, 50.03870391845703, 55.05633282661438, 60.059475898742676, 65.06121802330017, 70.31228685379028, 75.32875490188599, 80.0829348564148, 85.03523993492126, 90.0362639427185, 95.08845686912537]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq5v_100sec.wav,5v,,,,,0,1,1,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.4565269947052, 10.557295083999634, 17.373635053634644, 23.394989013671875, 26.580374002456665, 30.430766105651855, 35.43364119529724, 42.43630909919739, 45.42090320587158, 52.44011616706848, 57.44112420082092, 60.57349610328674, 65.46073603630066, 71.57984113693237, 75.5443069934845, 81.56685209274292, 85.50129413604736, 91.4689781665802, 95.43856310844421]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq4v_100sec.wav,4v,,,,,0,2,2,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.5204310417175293, 8.48849105834961, 10.623823881149292, 14.45906686782837, 19.5257089138031, 22.428097009658813, 27.44411301612854, 29.464426040649414, 33.46527290344238, 39.36732792854309, 42.4851610660553, 46.486737966537476, 49.371437072753906, 54.40749502182007, 57.35605192184448, 61.4926860332489, 66.42783308029175, 72.46429800987244, 76.68273496627808, 78.51556587219238, 84.43465495109558, 86.41881799697876, 92.45431995391846, 94.43851900100708]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq4c_100sec.wav,4c,,,,,0,3,3,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.4039459228515625, 8.355437994003296, 12.057031869888306, 16.04186487197876, 20.02586603164673, 24.07762098312378, 27.996299028396606, 31.981494903564453, 36.048372983932495, 40.016902923583984, 44.0526180267334, 48.02085900306702, 52.036964893341064, 56.07310390472412, 59.9405198097229, 63.95883083343506, 67.977059841156, 71.97902202606201, 76.02910494804382, 80.0651650428772, 84.04802393913269, 88.06929683685303, 92.03699398040771, 96.03791093826294]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq5c_100sec.wav,5c,,,,,1,0,4,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.339097023010254, 10.307636022567749, 15.092827081680298, 20.027050018310547, 25.112118005752563, 30.064807176589966, 35.015992164611816, 39.96790099143982, 45.06757116317749, 50.0036141872406, 54.99150514602661, 60.04232406616211, 65.02122211456299, 70.01267313957214, 74.99767303466797, 80.05049300193787, 85.25134205818176, 90.05320620536804, 95.10551810264587]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq4v_100sec.wav,4v,,,,,1,1,5,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.3508191108703613, 8.305610179901123, 10.505983114242554, 14.424233198165894, 18.40864109992981, 19.508852005004883, 22.47831702232361, 27.44606614112854, 29.4274640083313, 33.38120412826538, 39.35032105445862, 42.41548299789429, 46.40286707878113, 49.38718509674072, 54.40557909011841, 57.42343711853027, 61.4091260433197, 66.36109113693237, 72.34694409370422, 76.3975281715393, 78.41447806358337, 84.38457107543945, 86.40114617347717, 92.47048902511597, 94.4871289730072]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq4c_100sec.wav,4c,,,,,1,2,6,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.352848052978516, 8.3555269241333, 12.074415922164917, 16.058872938156128, 20.043540000915527, 24.07908606529236, 27.811158895492554, 32.16483187675476, 36.06639885902405, 40.06792497634888, 44.1361198425293, 48.10401797294617, 52.07017803192139, 56.05708193778992, 60.075358867645264, 64.09343791007996, 68.07943892478943, 72.07804584503174, 80.0828869342804, 84.08433699607849, 88.00225687026978, 91.98819494247437, 96.1388840675354]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
seq5v_100sec.wav,5v,,,,,1,3,7,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.287397861480713, 10.355577945709229, 17.305977821350098, 23.36079692840576, 26.37750482559204, 30.36403489112854, 34.29788303375244, 35.36686992645264, 42.415387868881226, 45.46880602836609, 52.388542890548706, 57.39018988609314, 60.40538787841797, 65.35931587219238, 71.42913889884949, 75.42896294593811, 81.34985685348511, 85.41705393791199, 91.41931080818176, 95.45508480072021]",2016_Apr_25_1559,60.0337217924,Melody_change_detectionRT,001,AH,
