snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq5v_100sec.wav,5v,,,,,0,0,0,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.37081503868103, 10.389616012573242, 17.33921217918396, 23.511574029922485, 26.394646167755127, 30.34381103515625, 35.3647780418396, 42.517292976379395, 45.58541512489319, 52.3213529586792, 57.439773082733154, 60.52499198913574, 65.89166307449341, 71.76057314872742, 75.92904901504517, 81.88064503669739, 86.29972505569458, 92.15185213088989, 95.95274209976196]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq4v_100sec.wav,4v,,,,,0,1,1,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.3703441619873047, 8.337982177734375, 10.720836162567139, 14.623532056808472, 19.52639603614807, 22.343146085739136, 27.312355995178223, 29.49618101119995, 33.36565709114075, 39.39967894554138, 42.533868074417114, 46.484963178634644, 49.50310516357422, 54.38860201835632, 57.42393112182617, 61.357638120651245, 66.32510900497437, 72.44259309768677, 76.36441111564636, 78.4785041809082, 84.34983706474304, 86.68443012237549, 92.3701319694519, 94.43652009963989]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq4c_100sec.wav,4c,,,,,0,2,2,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.338814973831177, 8.339622974395752, 12.307584047317505, 16.2083420753479, 19.84376287460327, 24.012716054916382, 27.994797945022583, 31.949002027511597, 35.96671199798584, 39.98540496826172, 43.96951103210449, 47.95474696159363, 51.98937702178955, 55.973495960235596, 59.9595890045166, 63.97652888298035, 67.96158003807068, 71.97961592674255, 75.96453309059143, 79.9804298877716, 83.98520588874817, 87.9189670085907, 91.95501208305359, 95.98853588104248]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq5c_100sec.wav,5c,,,,,0,3,3,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.2543439865112305, 5.887876987457275, 10.456952095031738, 15.291975021362305, 20.37651491165161, 25.42967391014099, 30.297250986099243, 35.79801297187805, 40.33330512046814, 45.70315504074097, 50.47171902656555, 55.42430090904236, 60.57255005836487, 65.36112809181213, 70.29351806640625, 75.3981339931488, 78.4158821105957, 80.54920411109924, 85.55103302001953, 90.41902995109558, 95.62196707725525]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq5v_100sec.wav,5v,,,,,1,0,4,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.440050840377808, 10.523252964019775, 17.409559965133667, 23.56273889541626, 26.663756847381592, 30.664161920547485, 35.532508850097656, 42.40193700790405, 45.46978402137756, 52.388826847076416, 57.769526958465576, 60.62552881240845, 65.7608048915863, 71.74696397781372, 75.6318747997284, 81.44994187355042, 85.53561592102051, 91.55443501472473, 95.55607891082764]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq4v_100sec.wav,4v,,,,,1,1,5,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.470426082611084, 8.439170122146606, 10.539935111999512, 14.407945156097412, 19.507835149765015, 22.377541065216064, 27.529461145401, 29.81375217437744, 33.397080183029175, 39.33377814292908, 42.418554067611694, 46.50437521934509, 49.43755316734314, 54.37263607978821, 57.45516514778137, 61.45876502990723, 66.44382810592651, 72.51339721679688, 76.38060307502747, 78.98202204704285, 84.60146617889404, 86.39903712272644, 92.55345320701599, 94.53765916824341]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq5c_100sec.wav,5c,,,,,1,2,6,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.403554916381836, 10.43851900100708, 15.357003927230835, 20.409563064575195, 25.444411993026733, 30.49739098548889, 35.46476602554321, 40.40090489387512, 45.43561005592346, 50.42022085189819, 55.42347002029419, 60.391144037246704, 65.3906819820404, 70.39451599121094, 75.54719400405884, 80.51428389549255, 85.49949193000793, 90.40157699584961, 95.40337705612183]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
seq4c_100sec.wav,4c,,,,,1,3,7,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.454674005508423, 8.472618103027344, 12.475127935409546, 16.476328134536743, 20.52732014656067, 24.59632706642151, 28.49683904647827, 32.46608114242554, 36.48334312438965, 40.50042510032654, 44.56977701187134, 48.370747089385986, 52.489315032958984, 56.32380414009094, 60.35894298553467, 64.40818810462952, 68.29586005210876, 72.47984099388123, 76.44832396507263, 80.6841390132904, 84.45132613182068, 88.61938309669495, 92.70417404174805, 96.43964409828186]",2016_Apr_25_1100,60.1641843926,Melody_change_detectionRT,001,MH,
