snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_100sec.wav,4v,0,0,0,0,,,,,,,2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq4v_100sec.wav,4v,,,,,0,0,0,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.6669209003448486, 8.783808946609497, 10.850625038146973, 14.684155941009521, 19.634416103363037, 22.617909908294678, 27.7848379611969, 29.868303060531616, 33.66853404045105, 39.61881899833679, 42.76898694038391, 46.6692099571228, 49.70270299911499, 55.002954959869385, 61.68667411804199, 66.53691601753235, 72.62060403823853, 76.82078003883362, 78.887619972229, 84.70459604263306, 86.75466394424438, 93.15498900413513, 94.8217670917511]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq5v_100sec.wav,5v,,,,,0,1,1,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.867131948471069, 10.617294073104858, 17.651028156280518, 23.70134711265564, 26.76817011833191, 30.868388175964355, 35.65199112892151, 42.76902914047241, 45.735862016677856, 52.61960506439209, 57.68655300140381, 60.76997900009155, 65.70359706878662, 71.78724098205566, 75.60409808158875, 81.53776407241821, 85.63805508613586, 89.50485515594482, 91.77165412902832, 95.75522017478943]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq4c_100sec.wav,4c,,,,,0,2,2,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.683660984039307, 8.517176151275635, 12.500751972198486, 16.300974130630493, 20.201183080673218, 24.201348066329956, 28.318273067474365, 32.28516507148743, 36.18535304069519, 40.235541105270386, 44.202460050582886, 48.23598003387451, 52.236199140548706, 56.23642611503601, 60.23664999008179, 64.22018194198608, 68.23706793785095, 72.23728013038635, 76.18752598762512, 80.25439715385437, 84.23796796798706, 88.20482993125916, 92.27168297767639, 96.23857307434082, 100.25545692443848]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq5c_100sec.wav,5c,,,,,0,3,3,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.317028045654297, 10.267305135726929, 15.267558097839355, 20.21784019470215, 25.23474621772766, 30.235016107559204, 35.251991987228394, 40.2522029876709, 45.26917099952698, 50.31942319869995, 54.25298500061035, 60.28659701347351, 65.27023410797119, 70.25380516052246, 75.25408720970154, 80.23769998550415, 85.27128505706787, 90.25493621826172, 95.27187514305115, 99.4054000377655]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq4v_100sec.wav,4v,,,,,1,0,4,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.683582067489624, 8.533888101577759, 10.800657987594604, 14.567517042160034, 19.617795944213867, 22.617954969406128, 27.534922122955322, 29.818313121795654, 33.93523812294006, 39.5854971408844, 42.61900305747986, 46.70253801345825, 49.60271406173706, 54.61963605880737, 57.61984992027283, 61.88670897483826, 65.5202419757843, 66.50362706184387, 72.73730802536011, 76.5541570186615, 78.72096300125122, 84.62125396728516, 86.67136597633362, 92.63839101791382, 94.6218421459198]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq5c_100sec.wav,5c,,,,,1,1,5,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.433645963668823, 10.433914184570312, 14.367439985275269, 15.250786066055298, 20.30110001564026, 25.318034172058105, 29.368251085281372, 30.251593112945557, 35.30191111564636, 40.268813133239746, 45.269097089767456, 50.26937699317932, 55.269607067108154, 60.30324101448059, 65.8035249710083, 70.25374603271484, 75.62071704864502, 80.2376480102539, 85.25454902648926, 90.27152800559998, 95.27178907394409, 100.27206516265869]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq5v_100sec.wav,5v,,,,,1,2,6,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[7.58379602432251, 10.550588130950928, 17.617647171020508, 23.71799898147583, 26.768110990524292, 30.81832504272461, 35.78527808189392, 42.76900815963745, 45.902446031570435, 52.569518089294434, 57.91977596282959, 60.95328617095947, 65.68687796592712, 71.57050919532776, 75.83741497993469, 81.62114310264587, 86.0712959766388, 91.57159304618835, 95.8051609992981]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
seq4c_100sec.wav,4c,,,,,1,3,7,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.333643913269043, 8.267184019088745, 12.284034013748169, 16.250908851623535, 20.26782202720642, 24.28457498550415, 28.218252897262573, 32.21847891807556, 36.26869082450867, 40.26890802383423, 44.23578691482544, 48.60265588760376, 52.286202907562256, 56.303109884262085, 60.25331687927246, 64.5702178478241, 68.52042603492737, 72.43730783462524, 76.28746891021729, 80.23767805099487, 84.5379638671875, 88.25480389595032, 92.2383599281311, 96.28856801986694, 100.3054678440094]",2016_Apr_21_1337,59.9991989243,Melody_change_detectionRT,001,000,
