snd,cond,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,detection_resp.keys,detection_resp.rt,date,frameRate,expName,session,participant,
seq4v_practice.wav,4v,0,0,0,0,,,,,,,2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq5c_100sec.wav,5c,,,,,0,0,0,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.238722085952759, 9.991455078125, 15.325830936431885, 18.11055302619934, 25.17903709411621, 28.796710968017578, 34.71554398536682, 39.017420053482056, 43.06983995437622, 49.90522289276123, 55.440507888793945, 60.30970001220703, 65.311194896698, 68.97757506370544, 73.94680404663086, 79.9662709236145, 84.43406009674072, 88.94947099685669, 94.9845449924469, 99.5559070110321]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq4v_100sec.wav,4v,,,,,0,1,1,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.7218837738037109, 4.136865854263306, 8.008558988571167, 12.439273834228516, 14.376083850860596, 18.84426498413086, 22.495653867721558, 25.21331477165222, 29.83149290084839, 33.85004281997681, 38.08552098274231, 42.63654589653015, 46.55122685432434, 53.40701699256897, 57.37487077713013, 62.073046922683716, 66.74207496643066, 72.8476939201355, 76.29823088645935, 78.94995284080505, 82.55110096931458, 87.08490586280823, 90.0694887638092, 97.25690698623657]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq4c_100sec.wav,4c,,,,,0,2,2,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.438384056091309, 8.322423934936523, 12.05764889717102, 16.375895977020264, 21.30761194229126, 24.411645889282227, 29.01369595527649, 32.445286989212036, 35.89928197860718, 40.501487016677856, 45.035649061203, 48.38756990432739, 52.8409059047699, 55.807230949401855, 59.987931966781616, 64.00621485710144, 68.0417799949646, 71.96228885650635, 76.04802203178406, 79.9979989528656, 83.93380784988403, 87.75180792808533, 91.78359389305115, 96.68799304962158]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq5v_100sec.wav,5v,,,,,0,3,3,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.9553818702697754, 7.807452917098999, 11.325522899627686, 14.226659059524536, 17.344260931015015, 23.330668926239014, 30.649144887924194, 35.450690031051636, 42.102596044540405, 46.10164284706116, 52.957037925720215, 57.64132785797119, 60.78992986679077, 65.31178689002991, 71.36059188842773, 75.32928395271301, 79.78199005126953, 85.58329200744629, 91.66851305961609, 95.81994795799255]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq5c_100sec.wav,5c,,,,,1,0,4,2,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[5.454421043395996, 10.388552904129028, 15.374782085418701, 20.343328952789307, 25.57704496383667, 30.34674096107483, 34.94862699508667, 40.299176931381226, 45.1355140209198, 49.90381097793579, 54.43910193443298, 59.20629286766052, 65.52540397644043, 69.24326705932617, 75.58735394477844, 79.14683985710144, 85.98118185997009, 88.81703400611877, 96.8696870803833]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq5v_100sec.wav,5v,,,,,1,1,5,3,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.40244197845458984, 7.370949029922485, 10.672137975692749, 14.172868967056274, 17.090630054473877, 22.12669014930725, 26.094272136688232, 30.61263418197632, 35.41411113739014, 40.93235397338867, 49.18583011627197, 53.02076601982117, 58.155450105667114, 61.09036707878113, 65.49160599708557, 71.6435329914093, 75.66151905059814, 81.44758200645447, 85.732901096344, 95.70270013809204]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq4v_100sec.wav,4v,,,,,1,2,6,1,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[3.4870128631591797, 7.486023902893066, 10.922390937805176, 14.573729038238525, 19.74204993247986, 23.12715792655945, 27.528384923934937, 29.829165935516357, 33.28132605552673, 37.49846887588501, 41.483768939971924, 46.78647589683533, 49.61961793899536, 55.121415853500366, 57.52230906486511, 61.07513785362244, 66.02620387077332, 70.21112203598022, 73.02854084968567, 75.99566888809204, 78.58096385002136, 81.93291997909546, 86.23344993591309, 92.4190080165863]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
seq4c_100sec.wav,4c,,,,,1,3,7,0,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[4.453895092010498, 8.321254968643188, 12.239675045013428, 16.306825160980225, 20.909754037857056, 24.377156972885132, 29.22930598258972, 32.26261901855469, 36.74808597564697, 40.48133206367493, 43.701483964920044, 47.75280714035034, 52.17056608200073, 56.33903098106384, 59.873265981674194, 63.95867896080017, 67.95993304252625, 71.94365310668945, 75.92732810974121, 79.91423916816711, 83.94783210754395, 87.6999020576477, 91.66836214065552, 96.43575811386108, 99.65421414375305]",2016_May_25_1400,59.9528016684,Melody_change_detectionRT,001,IC,
